chemID,chemMaterial,chemName,chemConcentration,chemAmountExpected,chemAmountUnit,chemLocationRoom,chemLocationCabinet,chemLocationShelf,chemSDS,chemNotes,chemInstrument
692,Inorganics,Potassium Hydrogen Phthalate,Solid,1200,g,None,None,None,1,,
693,Inorganics,Potassium Hydroxide,Solid,1200,g,None,None,None,1,,
694,Inorganics,Potassium Hydroxide ,1 M,1200,mL,None,None,None,1,,
695,Inorganics,Potassium Iodate,Solid,1200,g,None,None,None,1,,
696,Inorganics,Potassium Iodate,0.10 M,1200,mL,None,None,None,1,,
697,Inorganics,Potassium Iodide,Solid,1200,g,None,None,None,1,,
698,Inorganics,Potassium Iodide,0.10 M,1200,mL,None,None,None,1,,
699,Inorganics,Potassium Iodide,1.0 M,1200,mL,None,None,None,1,,
700,Inorganics,Potassium Iodide,Concentrated,1200,mL,None,None,None,1,,
701,Inorganics,Potassium Nitrate,Solid,1200,g,None,None,None,1,,
702,Inorganics,Potassium Nitrate,0.10 M,1200,mL,None,None,None,1,,
703,Inorganics,Potassium Oxalate,Solid,1200,g,None,None,None,1,,
704,Inorganics,Potassium Perchlorate,Solid,1200,g,None,None,None,1,,
705,Inorganics,Potassium Periodate,Solid,1200,g,None,None,None,1,,
706,Inorganics,Potassium Permanganate,Solid,1200,g,None,None,None,1,,
707,Inorganics,Potassium Permanganate,1.00 M,1200,L,None,None,None,1,,
708,Inorganics,Potassium Permanganate,Bulk Solid,1200,g,None,None,None,1,,
709,Inorganics,Potassium Persulfate,Solid,1200,g,None,None,None,1,,
710,Inorganics,Potassium Phosphate,Solid,1200,g,None,None,None,1,,
711,Inorganics,Potassium Phosphate Monobasic,Solid,1200,g,None,None,None,1,,
712,Inorganics,Potassium Sodium Tartrate,Solid,1200,g,None,None,None,1,,
713,Inorganics,Potassium Sulfate,Solid,1200,g,None,None,None,1,,
714,Inorganics,Potassium Sulfate,0.10 M,1200,mL,None,None,None,1,,
715,Inorganics,Potassium Thiocyanate,Solid,1200,g,None,None,None,1,,
716,Inorganics,Potassium Thiocyanate,0.002 M,1200,mL,None,None,None,1,,
717,Inorganics,Potassium Thiocyanate,0.10 M,1200,mL,None,None,None,1,,
718,Inorganics,Silica Acid,Solid,1200,g,None,None,None,1,,
719,Inorganics,Silver (Powder),Solid,1200,g,None,None,None,1,,
720,Inorganics,Silver (Wire),Solid,1200,g,None,None,None,1,,
721,Inorganics,Silver Acetate,Solid,1200,g,None,None,None,1,,
722,Inorganics,Silver (I) Chloride,Solid,1200,g,None,None,None,1,,
723,Inorganics,Silver Nitrate,Solid,1200,g,None,None,None,1,,
724,Inorganics,Silver Nitrate,0.05 M,1200,L,None,None,None,1,,
725,Inorganics,Silver Nitrate,0.10 M,1200,mL,None,None,None,1,,
726,Inorganics,Silver Nitrate,0.30 M,1200,mL,None,None,None,1,,
727,Inorganics,Silver Oxide,Solid,1200,g,None,None,None,1,,
728,Inorganics,Sodium,Solid,1200,g,None,None,None,1,,
729,Inorganics,Sodium Acetate,Solid,1200,g,None,None,None,1,,
730,Inorganics,Sodium Acetate,4.0 M,1200,mL,None,None,None,1,,
731,Inorganics,Sodium Benzoate,Solid,1200,g,None,None,None,1,,
732,Inorganics,Sodium Bicarbonate,Solid,1200,kg,None,None,None,1,,
733,Inorganics,Sodium Bicarbonate,10%,1200,L,None,None,None,1,,
734,Inorganics,Sodium Bicarbonate,Saturated,1200,mL,None,None,None,1,,
735,Inorganics,Sodium Bicarbonate,1.0 M,1200,mL,None,None,None,1,,
736,Inorganics,Sodium Bisulfite,Solid,1200,g,None,None,None,1,,
737,Inorganics,Sodium Bisulfite,Saturated,1200,L,None,None,None,1,,
738,Inorganics,Sodium Bromide,Solid,1200,g,None,None,None,1,,
739,Inorganics,Sodium Bromide,0.1 M,1200,mL,None,None,None,1,,
740,Inorganics,Sodium Bismuthate,Solid,1200,g,None,None,None,1,,
741,Inorganics,Sodium Butyrate,Solid,1200,g,None,None,None,1,,
742,Inorganics,Sodium Carbonate,Solid,1200,g,None,None,None,1,,
743,Inorganics,Sodium Carbonate,0.10 M,1200,mL,None,None,None,1,,
744,Inorganics,Sodium Carbonate,0.125 M,1200,mL,None,None,None,1,,
745,Inorganics,Sodium Carbonate,1.0 M,1200,mL,None,None,None,1,,
746,Inorganics,Sodium Carbonate,5%,1200,mL,None,None,None,1,,
747,Inorganics,Sodium Carbonate,10%,1200,mL,None,None,None,1,,
748,Inorganics,Sodium Chloride,Solid,1200,kg,None,None,None,1,,
749,Inorganics,Sodium Chloride,0.10%,1200,mL,None,None,None,1,,
750,Inorganics,Sodium Chloride,0.10 M,1200,L,None,None,None,1,,
751,Inorganics,Sodium Chloride,Saturated,1200,mL,None,None,None,1,,
752,Inorganics,Sodium Hydroxide,Solid,1200,g,None,None,None,1,,
753,Inorganics,Sodium Hydroxide,0.1 M,1200,L,None,None,None,1,,
754,Inorganics,Sodium Hydroxide,0.4 M,1200,L,None,None,None,1,,
755,Inorganics,Sodium Hydroxide,0.5 M,1200,L,None,None,None,1,,
756,Inorganics,Sodium Hydroxide,1.0 M,1200,L,None,None,None,1,,
757,Inorganics,Sodium Hydroxide,6 M,1200,L,None,None,None,1,,
758,Inorganics,Sodium Hydroxide,10%,1200,mL,None,None,None,1,,
759,Inorganics,Sodium Hydroxide,50%,1200,mL,None,None,None,1,,
760,Inorganics,Sodium Hydroxide,Lab Solutions,1200,L,None,None,None,1,,
761,Inorganics,Sodium Hydrogen Sulfite,Solid,1200,g,None,None,None,1,,
762,Inorganics,Sodium Iodate,Solid,1200,g,None,None,None,1,,
763,Inorganics,Sodium Iodide,Solid,1200,g,None,None,None,1,,
764,Inorganics,Sodium Iodide,12.50%,1200,mL,None,None,None,1,,
765,Inorganics,Sodium Nitrate,Solid,1200,g,None,None,None,1,,
766,Inorganics,Sodium Nitrate,0.10 M,1200,mL,None,None,None,1,,
767,Inorganics,Sodium Nitrite,Solid,1200,g,None,None,None,1,,
768,Inorganics,Sodium Oxalate,Solid,1200,g,None,None,None,1,,
769,Inorganics,Sodium Oxalate,0.10 M,1200,mL,None,None,None,1,,
770,Inorganics,Sodium Pentacyanonitrosylferrate(III) Dihydrate,98%,1200,g,None,None,None,1,,
771,Inorganics,Sodium Perchlorate,Solid,1200,g,None,None,None,1,,
772,Inorganics,Sodium Polyphosphate,Solid,1200,g,None,None,None,1,,
773,Inorganics,Sodium Phosphate,Solid,1200,g,None,None,None,1,,
774,Inorganics,Sodium Phosphate Dibasic Dihydrate,Solid,1200,g,None,None,None,1,,
775,Inorganics,Sodium Phosphate,0.10 M,1200,L,None,None,None,1,,
776,Inorganics,Sodium Phosphate,0.30 M,1200,mL,None,None,None,1,,
777,Inorganics,Sodium Polyacrylate,Solid,1200,g,None,None,None,1,,
778,Inorganics,Sodium Pyrophosphate,Solid,1200,g,None,None,None,1,,
779,Inorganics,Sodium Salicylate,Solid,1200,g,None,None,None,1,,
780,Inorganics,Sodium Silicate,Solution,1200,mL,None,None,None,1,,
781,Inorganics,Sodium Sulfate,Solid,1200,g,None,None,None,1,,
782,Inorganics,Sodium Sulfate,0.10 M,1200,mL,None,None,None,1,,
783,Inorganics,Sodium Sulfate,1.0 M,1200,mL,None,None,None,1,,
784,Inorganics,Sodium Sulfide,0.10 M,1200,mL,None,None,None,1,,
785,Inorganics,Sodium Sulfite,Solid,1200,g,None,None,None,1,,
786,Inorganics,Sodium Tetraborate,Solid,1200,g,None,None,None,1,,
787,Inorganics,Sodium Tetraborate,Solution,1200,mL,None,None,None,1,,
788,Inorganics,Sodlium Thiosulfate,Solid,1200,g,None,None,None,1,,
789,Inorganics,Sodium Thiosulfate,Solution,1200,mL,None,None,None,1,,
790,Inorganics,Strontium Chloride,Solid,1200,g,None,None,None,1,,
791,Inorganics,Strontium Nitrate,Solid,1200,g,None,None,None,1,,
792,Inorganics,Strontium Nitrate,0.10 M,1200,L,None,None,None,1,,
793,Inorganics,Sulfur,Solid,1200,g,None,None,None,1,,
794,Inorganics,Tin ,Solid,1200,g,None,None,None,1,,
795,Inorganics,Tin (II) Chloride,Solid,1200,g,None,None,None,1,,
796,Inorganics,Titanium,Solid,1200,g,None,None,None,1,,
797,Inorganics,Titanium (IV) Dioxide,Solid,1200,g,None,None,None,1,,
798,Inorganics,Rhodium,Solid,1200,g,None,None,None,1,,
799,Inorganics,Ruthenium,Solid,1200,g,None,None,None,1,,
800,Inorganics,Vanadium (V) Oxide,Solid,1200,g,None,None,None,1,,
801,Inorganics,Zinc,Metal,1200,g,None,None,None,1,,
802,Inorganics,Zinc Strips,Solid,1200,g,None,None,None,1,,
803,Inorganics,Zinc Acetate,Solid,1200,kg,None,None,None,1,,
804,Inorganics,Zinc Chloride,Solid,1200,g,None,None,None,1,,
805,Inorganics,Zinc Chloride,0.10 M,1200,mL,None,None,None,1,,
806,Inorganics,Zinc Nitrate,Solid,1200,g,None,None,None,1,,
807,Inorganics,Zinc Nitrate,0.10 M,1200,L,None,None,None,1,,
808,Inorganics,Zinc Sulfate,Solid,1200,g,None,None,None,1,,
809,Inorganics,Zinc Sulfate,0.10 M,1200,mL,None,None,None,1,,
810,Inorganics,Zinc Sulfate,1.0 M,1200,mL,None,None,None,1,,
811,Inorganics,Zinc Sulfide,Solid,1200,g,None,None,None,1,,
