chemID,chemMaterial,chemName,chemConcentration,chemAmountExpected,chemAmountUnit,chemLocationRoom,chemLocationCabinet,chemLocationShelf,chemSDS,chemNotes,chemInstrument
133,Flammables,Toluene,99%,1200,mL,325,None,None,1,,
134,Flammables,Methyl Ethyl Ketone,99%,1200,L,325,None,None,1,,
135,Flammables,Reagent Alcohol,95%,1200,L,325,None,None,1,,
136,Flammables,Chloroform,99%,1200,L,325,None,None,1,,
137,Flammables,Petroleum Ether,99%,1200,mL,325,None,None,1,,
138,Flammables,Acetone,99%,1200,mL,325,None,None,1,,
139,Flammables,Cyclohexane,99%,1200,mL,325,None,None,1,,
140,Flammables,Ethyl Ether,99%,1200,mL,325,None,None,1,,
141,Flammables,Methanol,95%,1200,mL,325,None,None,1,,
142,Flammables,Tetrahydrofuran,99%,1200,mL,325,None,None,1,,
143,Flammables,Xylenes,95%,1200,mL,325,None,None,1,,
144,Flammables,Acetone,95%,1200,L,308,None,None,1,,
145,Flammables,Isopropyl Alcohol,95%,1200,L,308,None,None,1,,
146,Flammables,Toluene,99%,1200,mL,308,None,None,1,,
147,Flammables,Xylenes,Mixed,1200,mL,308,None,None,1,,
148,Flammables,Acetone,99%,1200,L,310,None,None,1,,
149,Flammables,Dicyclopentadiene,95%,1200,L,310,None,None,1,,
150,Flammables,"N,N-Dimethylformamide",100%,1200,L,310,None,None,1,,
151,Flammables,Gasoline,E85,1200,L,310,None,None,1,,
152,Flammables,Kerosine,,1200,L,310,None,None,1,,
153,Non-Flammable Organics,Acetone,Pure,1200,mL,Prep Room,None,None,1,,
154,Non-Flammable Organics,Acetone,4.00 M,1200,L,Prep Room,None,None,1,,
155,Non-Flammable Organics,Acetone:Water,50%,1200,mL,Prep Room,None,None,1,,
156,Non-Flammable Organics,Acetone,10%,1200,mL,Prep Room,None,None,1,,
157,Non-Flammable Organics,Acetic Anhydride,98%,1200,L,Prep Room,None,None,1,,
158,Non-Flammable Organics,Acetylferrocene,95%,1200,g,Prep Room,None,None,1,,
159,Non-Flammable Organics,Acetylsalicylic Acid,99%,1200,g,Prep Room,None,None,1,,
160,Non-Flammable Organics,Acetanilide,97%,1200,g,Prep Room,None,None,1,,
161,Non-Flammable Organics,4-Acetamidophenol,98%,1200,g,Prep Room,None,None,1,,
162,Non-Flammable Organics,Acetophenone,99%,1200,mL,Prep Room,None,None,1,,
163,Non-Flammable Organics,p-Acetophenetidide,97%,1200,g,Prep Room,None,None,1,,
164,Non-Flammable Organics,Adipic Acid,99%,1200,g,Prep Room,None,None,1,,
165,Non-Flammable Organics,3-Aminobenzoic Acid,98%,1200,g,Prep Room,None,None,1,,
166,Non-Flammable Organics,4-Aminophenyl Sulfone,97%,1200,g,Prep Room,None,None,1,,
167,Non-Flammable Organics,Aliquat 336,-,1200,mL,Prep Room,None,None,1,,
168,Non-Flammable Organics,Aniline,?,1200,mL,Prep Room,None,None,1,,
