chemBottleIDNUM,chemMaterial,chemName,chemConcentration,chemAmountInBottle,chemAmountUnit,chemLocationRoom,chemSDS,chemNotes,chemInstrument,,,,
166,Non-Flammable Organics,4-Aminophenyl Sulfone,97%,350,g,Prep Room,1,,,,,,
167,Non-Flammable Organics,Aliquat 336,-,125,mL,Prep Room,1,,,,,,
168,Non-Flammable Organics,Aniline,?,400,mL,Prep Room,1,,,,,,
169,Non-Flammable Organics,9-Anthraldehyde,97%,15,g,Prep Room,1,,,,,,
170,Non-Flammable Organics,Anthracene,97%,250,g,Prep Room,1,,,,,,
171,Non-Flammable Organics,9-Anthracenecarboxaldehyde,97%,60,g,Prep Room,1,,,,,,
172,Non-Flammable Organics,Benzaldehyde,98%,750,mL,Prep Room,1,,,,,,
173,Non-Flammable Organics,Benzamide,99%,400,g,Prep Room,1,,,,,,
174,Non-Flammable Organics,Benzyl Chloride,97%,1,L,Prep Room,1,,,,,,
175,Non-Flammable Organics,Benzyltriethylammonium Chloride,99%,800,g,Prep Room,1,,,,,,
176,Non-Flammable Organics,Benzyltriphenylphosphonium Chloride,99%,5,g,Prep Room,1,,,,,,
177,Non-Flammable Organics,Benzonitrile,?,350,mL,Prep Room,1,,,,,,
178,Non-Flammable Organics,Benzoic Acid,99%,600,g,Prep Room,1,,,,,,
179,Non-Flammable Organics,Benzophenone,99%,750,g,Prep Room,1,,,,,,
180,Non-Flammable Organics,Benzoyl Peroxide,97%,40,g,Prep Room,1,,,,,,
181,Non-Flammable Organics,Boric Acid,99%,300,g,Prep Room,1,,,,,,
182,Non-Flammable Organics,Bromobenzene,-,70,mL,Prep Room,1,,,,,,
183,Non-Flammable Organics,2-Bromoethanol,95%,100,g,Prep Room,1,,,,,,
184,Non-Flammable Organics,2-Bromo-2-methylpropane,96%,100,mL,Prep Room,1,,,,,,
185,Non-Flammable Organics,1-Bromopropane,99%,250,mL,Prep Room,1,,,,,,
186,Non-Flammable Organics,2-Bromopropane,99%,250,mL,Prep Room,0,,,,,,
187,Non-Flammable Organics,1-Butanol,99%,9,L,Prep Room,1,,,,,,
188,Non-Flammable Organics,t-Butanol,99%,500,mL,Prep Room,1,,,,,,
189,Non-Flammable Organics,Butyraldehyde,99%,4,L,Prep Room,1,,,,,,
190,Non-Flammable Organics,Caffeine,Solid,70,g,Prep Room,1,,,,,,
191,Non-Flammable Organics,(1R)-(+)-Camphor,98%,50,g,Prep Room,1,,,,,,
192,Non-Flammable Organics,2-Carboxybenzaldehyde,Solid,40,g,Prep Room,1,,,,,,
193,Non-Flammable Organics,Carnitine Hydrochloride,98%,100,g,Prep Room,1,,,,,,
194,Non-Flammable Organics,Chloroacetic Acid,99%,1200,g,Prep Room,1,,,,,,
195,Non-Flammable Organics,"1-Chloro-9,10-bis(phenylethynyl)anthracene",99%,0.100,g,Prep Room,1,,,,,,
196,Non-Flammable Organics,"4-Chloro-2,6-dimethylphenol",98%,8,g,Prep Room,1,,,,,,
197,Non-Flammable Organics,trans-Cinnamaldehyde,99%,200,g,Prep Room,1,,,,,,
198,Non-Flammable Organics,trans-Cinnamic Acid,97%,180,g,Prep Room,1,,,,,,
199,Non-Flammable Organics,Citric Acid Anhydrous,Solid,1600,g,Prep Room,1,,,,,,
200,Non-Flammable Organics,Citric Acid Trisodium Dihydrate,Solid,1000,g,Prep Room,1,,,,,,
201,Non-Flammable Organics,Citric Acid,10%,400,mL,Prep Room,1,,,,,,
202,Non-Flammable Organics,Cotton Seed Oil,-,3.5,L,Prep Room,1,,,,,,
203,Non-Flammable Organics,o-Cresol,99%,300,mL,Prep Room,1,,,,,,
204,Non-Flammable Organics,m-Cresol,99%,150,mL,Prep Room,1,,,,,,
205,Non-Flammable Organics,2-Cyanoacetamide,99%,500,g,Prep Room,1,,,,,,
206,Non-Flammable Organics,Cyanuric Acid Anhydrous,98%,80,g,Prep Room,1,,,,,,
207,Non-Flammable Organics,Cyclohexanecarboxylic Acid,98%,80,mL,Prep Room,1,,,,,,
208,Non-Flammable Organics,Cyclohexanol,99%,1,L,Prep Room,1,,,,,,
209,Non-Flammable Organics,Cyclohexanone,99%,100,mL,Prep Room,1,,,,,,
210,Non-Flammable Organics,Decanoic Acid,Solid,80,g,Prep Room,1,,,,,,
211,Non-Flammable Organics,D.E.R. 332 Epoxy Resin,-,3000,mL,Prep Room,1,,,,,,
212,Non-Flammable Organics,"1,6-Diaminohexane",98%,50,g,Prep Room,1,,,,,,
213,Non-Flammable Organics,"2,4-Dichlorobenzoic Acid",98%,100,g,Prep Room,1,,,,,,
214,Non-Flammable Organics,Dichloromethane,99%,3.5,L,Prep Room,1,,,,,,
215,Non-Flammable Organics,Diethyl Phthalate,99.50%,500,mL,Prep Room,1,,,,,,
216,Non-Flammable Organics,"3,4-Dihydro-2H-pyran",97%,10,mL,Prep Room,1,,,,,,
217,Non-Flammable Organics,"2,4-Dihydroxyacetophenone",Solid,45,g,Prep Room,1,,,,,,
218,Non-Flammable Organics,"N,N-Diisopropylethylamine",98%,15,mL,Prep Room,1,,,,,,
219,Non-Flammable Organics,"1,4-Dimethyoxybenzene",99%,600,g,Prep Room,1,,,,,,
220,Non-Flammable Organics,"3,4-Dimethoxybenzoic Acid",99%,60,g,Prep Room,1,,,,,,
221,Non-Flammable Organics,"2,6-Dimethylaniline",99%,30,mL,Prep Room,1,,,,,,
222,Non-Flammable Organics,"N,N-Dimethylaniline",99%,1700,mL,Prep Room,1,,,,,,
223,Non-Flammable Organics,"N,N-Dimethylformamide",99%,1,L,Prep Room,1,,,,,,
224,Non-Flammable Organics,"2,6-Dimethylphenol",99%,400,g,Prep Room,1,,,,,,
225,Non-Flammable Organics,"3,5-Dinitrosalicylic Acid",98%,70,g,Prep Room,1,,,,,,
226,Non-Flammable Organics,Diphenylamine,99%,100,g,Prep Room,1,,,,,,
227,Non-Flammable Organics,Diphenylmethane,?,150,mL,Prep Room,1,,,,,,
228,Non-Flammable Organics,Docosane,99%,20,g,Prep Room,1,,,,,,
229,Non-Flammable Organics,EDTA,99%,700,g,Prep Room,1,,,,,,
230,Non-Flammable Organics,Ethanolamine,99%,600,mL,Prep Room,1,,,,,,
231,Non-Flammable Organics,4-Ethoxyaniline,98%,300,mL,Prep Room,1,,,,,,
232,Non-Flammable Organics,Ethyl Acetate,95%,4,L,Prep Room,1,,,,,,
233,Non-Flammable Organics,4-Ethylbenzoic Acid,99%,3,g,Prep Room,1,,,,,,
234,Non-Flammable Organics,Ethylene Glycol,95%,500,mL,Prep Room,1,,,,,,
